itemID,reviewerID,rating
I493784778,U140268968,5.0
I493784778,U464801585,5.0
I493784778,U994135900,5.0
I493784778,U390565862,1.0
I493784778,U215082373,5.0
I493784778,U121970206,5.0
I493784778,U931609416,5.0
I493784778,U204678088,1.0
I493784778,U595143037,5.0
I493784778,U248680394,5.0
I493784778,U807460730,5.0
I493784778,U447655308,4.0
I493784778,U911915363,4.0
I493784778,U643654510,5.0
I493784778,U152641966,1.0
I493784778,U545439688,4.0
I493784778,U113496717,2.0
I493784778,U946823459,5.0
I493784778,U923763840,5.0
I493784778,U978634480,5.0
I493784778,U856412261,4.0
I493784778,U166737662,5.0
I493784778,U613956901,5.0
I493784778,U489521164,3.0
I493784778,U603142065,5.0
I493784778,U064376390,5.0
I493784778,U748377949,5.0
I493784778,U481448452,4.0
I493784778,U118420527,5.0
I493784778,U437651354,4.0
I493784778,U662822526,3.0
I493784778,U685976658,4.0
I493784778,U609750901,5.0
I493784778,U894771026,3.0
I493784778,U543853469,5.0
I493784778,U203161266,5.0
I493784778,U529567735,5.0
I493784778,U094043838,1.0
I493784778,U863928308,4.0
I493784778,U525996836,5.0
I493784778,U601172466,1.0
I493784778,U425831664,5.0
I493784778,U232321533,5.0
I493784778,U513111531,5.0
I493784778,U554016241,4.0
I493784778,U110753311,1.0
I493784778,U268240119,4.0
I493784778,U122629477,5.0
I493784778,U657493444,4.0
I493784778,U010263219,5.0
I493784778,U671790667,5.0
I493784778,U434053558,5.0
I493784778,U301577203,5.0
I493784778,U981588943,4.0
I493784778,U473493711,4.0
I493784778,U327978377,4.0
I493784778,U438918696,5.0
I493784778,U339528404,5.0
I493784778,U464482220,4.0
I493784778,U040472889,4.0
I493784778,U172148356,5.0
I493784778,U975937519,5.0
I493784778,U623505340,5.0
I493784778,U096552328,4.0
I493784778,U974990629,4.0
I493784778,U702788931,5.0
I493784778,U836838626,5.0
I493784778,U673727987,4.0
I493784778,U171535639,3.0
I493784778,U636667094,5.0
I493784778,U603457744,5.0
I493784778,U866730424,5.0
I493784778,U367433934,1.0
I493784778,U023002277,4.0
I493784778,U369294630,5.0
I493784778,U413699950,3.0
I493784778,U909130131,5.0
I493784778,U867149583,2.0
I493784778,U250051818,3.0
I493784778,U477996027,2.0
I493784778,U636844349,5.0
